Char,Morse,NATO,English,American,Italian,German,International,
A,.-,Alfa,Andrew,Able,Ancona,Anton,Amsterdam,
B,-...,Bravo,Benjamin,Baker,Bologna,Berta,Baltimore,o
C,-.-.,Charlie,Charlie,Charlie,Como,Casar,Casablanca,
D,-..,Delta,David,Dog,Domodossola,Dora,Denmark,
E,.,Echo,Edward,Easy,Empoli,Emil,Edision,
F,..-.,Foxtrot,Fredrick,Fox,Firenze,Friedrich,Florida,
G,--.,Golf,George,George,Genova,Gustav,Gallipoli,
H,....,Hotel,Harry,How,Hotel,Heinrich,Havana,
I,..,India,Isaac,Item,Imola,Ida,Italy,
J,.---,Juliett,Jack,Jig,I lunga,Julius,Jerusalem,
K,-.-,Kilo,King,King,Kursaal,Kaufmann,Kilogram,
L,.-..,Lima,Lucy,Love,Livorno,Ludwig,Liverpool,
M,--,Mike,Mary,Mike,Milano,Martha,Madagascar,
N,-.,November,Nelli,Nan,Napoli,Nordpol,New York,
O,---,Oscar,Oliver,Oboe,Otranto,Otto,Oslo,
P,.--.,Papa,Peter,Peter,Padova,Paula,Paris,
Q,--.-,Quebec,Queenie,Queen,Quarto,Quelle,Quebec,
R,.-.,Romeo,Robert,Roger,Roma,Richard,Roma,
S,...,Sierra,Sugar,Sugar,Savona,Samuel,Santiago,
T,-,Tango,Tommy,Tare,Torino,Theodor,Tripoli,
U,..-,Uniform,Uncle,Uncle,Udine,Ulrich,Uppsala,
V,...-,Victor,Victor,Victor,Venezia,Viktor,Valencia,
W,.--,Whiskey,William,William,Washington,Wilhelm,Washington,
X,-..-,X-ray,Xmas,X-ray,Ics,Xanthippe,Xanthippe,
Y,-.--,Yankee,Yellow,Yoke,York,Ypsilon,Yokohama,
Z,--..,Zulu,Zebra,Zebra,Zara,Zeppelin,Zurich,
1,.----,,,,,,,
2,..---,,,,,,,
3,...--,,,,,,,
4,....-,,,,,,,
5,.....,,,,,,,
6,-....,,,,,,,
7,--...,,,,,,,
8,---..,,,,,,,
9,----.,,,,,,,
0,-----,,,,,,,
.,.-.-.-,,,,,,,
",",--..--,,,,,,,
:,---...,,,,,,,
?,..--..,,,,,,,
,.----.,,,,,,,
-,-....-,,,,,,,
/,-..-.,,,,,,,
(,-.--.-,,,,,,,
),-.--.-,,,,,,,
"""",.-..-.,,,,,,,